,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day
7519,285,1,2013-01-07,5555,500,1,1,0,1,2013,1,7
8634,285,2,2013-01-08,4772,436,1,1,0,1,2013,1,8
9749,285,3,2013-01-09,4714,421,1,1,0,1,2013,1,9
10864,285,4,2013-01-10,4038,374,1,1,0,1,2013,1,10
11979,285,5,2013-01-11,4477,411,1,1,0,1,2013,1,11
13094,285,6,2013-01-12,5126,484,1,0,0,0,2013,1,12
14209,285,7,2013-01-13,0,0,0,0,0,0,2013,1,13
15324,285,1,2013-01-14,3678,378,1,0,0,0,2013,1,14
16439,285,2,2013-01-15,2896,349,1,0,0,0,2013,1,15
17554,285,3,2013-01-16,2963,329,1,0,0,0,2013,1,16
18669,285,4,2013-01-17,3252,328,1,0,0,0,2013,1,17
19784,285,5,2013-01-18,3653,390,1,0,0,0,2013,1,18
20899,285,6,2013-01-19,4965,464,1,0,0,0,2013,1,19
22014,285,7,2013-01-20,0,0,0,0,0,0,2013,1,20
23129,285,1,2013-01-21,4158,376,1,1,0,0,2013,1,21
24244,285,2,2013-01-22,3821,346,1,1,0,0,2013,1,22
25359,285,3,2013-01-23,4160,362,1,1,0,0,2013,1,23
26474,285,4,2013-01-24,4680,399,1,1,0,0,2013,1,24
27589,285,5,2013-01-25,4489,396,1,1,0,0,2013,1,25
28704,285,6,2013-01-26,5107,477,1,0,0,0,2013,1,26
29819,285,7,2013-01-27,0,0,0,0,0,0,2013,1,27
30934,285,1,2013-01-28,3405,387,1,0,0,0,2013,1,28
32049,285,2,2013-01-29,3109,331,1,0,0,0,2013,1,29
33164,285,3,2013-01-30,3505,336,1,0,0,0,2013,1,30
34279,285,4,2013-01-31,3451,346,1,0,0,0,2013,1,31
35394,285,5,2013-02-01,3679,360,1,0,0,0,2013,2,1
36509,285,6,2013-02-02,6627,553,1,0,0,0,2013,2,2
37624,285,7,2013-02-03,0,0,0,0,0,0,2013,2,3
38739,285,1,2013-02-04,5121,473,1,1,0,0,2013,2,4
